gene_name,logFC,adj.P.Val
Ccl6,3.1,0.00109
Trem2,0.97,0.0014
Gnas,1.3,0.0014
Cadm1,1.4,0.0104
Ctsl,1.1,0.0104
B2m,0.82,0.0104
Lpcat2,-0.82,0.0157
Fth1,1.4,0.0157
Cmtm6,-1.2,0.0157
Rpl3,1.2,0.0182
Rpl32,1.3,0.0202
Ppp1r15a,1.5,0.0372
Ecscr,-1.2,0.0372
Npc2,1.1,0.0372
Cd9,0.94,0.0372
Ms4a6b,-1.5,0.0496
Tpt1,1.2,0.0593
Tsc22d1,3,0.0372
Syngr1,1.2,0.0665
Tpi1,1.3,0.0752
Ank,3.5,0.0372
Rps7,1.4,0.0893
Ifngr1,-0.75,0.0752
Plek,1.1,0.0869
Fgd2,-0.99,0.0893
Rpl18a,0.93,0.0893
Eef1a1,1.5,0.0905
Mfsd14a,-1.6,0.0905
Csf1,4.6,0.0893
Zfp715,-1.6,0.1
Rpl7,1.3,0.106
Abhd15,-2.2,0.0905
Rpl23,1.1,0.109
Tyrobp,0.94,0.0905
Hsp90aa1,1.3,0.109
Smc6,1.3,0.109
Cxcl16,1.3,0.109
Bcl2a1b,1.3,0.109
Rpl41,1.1,0.109
Hspa8,0.89,0.106
Sdf4,0.95,0.109
Rpl13,0.82,0.109
Hspe1,1.3,0.117
Tgif1,1.1,0.117
Ccl3,1.8,0.109
Rpl36a,1.6,0.117
Cstb,1,0.117
Oma1,-1.5,0.124
Ramp1,2.5,0.124
Actr8,-1.9,0.124
Cib1,-1.2,0.124
Plaur,1.8,0.124
Ldha,0.97,0.124
Slc2a5,-0.84,0.117
Ctsb,0.92,0.109
Timp2,0.72,0.117
Tspo,1.1,0.124
Gpi1,1.6,0.124
Atf3,1.1,0.117
Rps19,1.1,0.126
Ctsz,0.75,0.117
RP23-465M17.1,2.5,0.132
Afap1l1,-2.4,0.117
Creg1,0.68,0.124
Nfkbiz,1.5,0.13
Ralb,-0.97,0.135
Cd14,1.4,0.124
Cox4i1,0.95,0.13
H2-D1,0.98,0.124
Lcp2,-1,0.139
Ncaph,-1.9,0.151
Plod1,-1.3,0.152
Ebna1bp2,1.3,0.152
Aplp2,1.3,0.152
Glb1,1.5,0.152
Twf2,-0.99,0.152
Eva1a,-2,0.152
Slc7a7,-1.1,0.152
Rplp1,1.1,0.152
Gusb,0.95,0.152
